molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50
CHEMBL174990,CN1C(=O)/C(=C(/O)Nc2ccc(Cl)cc2)c2ccccc2C1=O,46.0,nM,7.337242168318426
CHEMBL367739,Cc1cnc(NC(=O)C2=C(O)c3sccc3S(=O)(=O)N2C)s1,510.0,nM,6.292429823902063
CHEMBL177808,CN1C(=O)/C(=C(/O)Nc2ccc(Cl)cc2Cl)c2cc(Cl)ccc2C1=O,200.0,nM,6.698970004336019
CHEMBL148542,CS(=O)(=O)Nc1ccncc1Oc1ccccc1,37500.0,nM,4.425968732272281
CHEMBL173724,CN1C(O)=C(C(=O)Nc2ccc(Br)cc2Br)c2cc(Cl)ccc2S1(=O)=O,7.0,nM,8.154901959985743
CHEMBL367864,Cc1csc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)n1,830.0,nM,6.080921907623926
CHEMBL369492,CN1C(O)=C(C(=O)Nc2ccc(Cl)cc2)c2cc(Cl)ccc2S1(=O)=O,64.0,nM,7.1938200260161125
CHEMBL361563,CS(=O)(=O)Nc1cc2c(cc1Sc1cccc(F)c1F)C(=O)CC2,50.0,nM,7.301029995663981
CHEMBL47638,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(Cl)cc2)cc1,30.0,nM,7.522878745280337
CHEMBL119618,CCCN(C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2)C1CC1,4000.0,nM,5.3979400086720375
CHEMBL47687,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(N)cc2)cc1,129.0,nM,6.889410289700751
CHEMBL45331,Cc1cc(-c2ccc(NS(C)(=O)=O)cc2)n(-c2ccc(Br)cc2)n1,770.0,nM,6.113509274827518
CHEMBL418516,CN(C)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(NS(C)(=O)=O)cc2)cc1,530.0,nM,6.275724130399211
CHEMBL45387,Cc1cc(-c2ccc(NS(C)(=O)=O)cc2)n(-c2ccc(Cl)cc2)n1,265.0,nM,6.576754126063192
CHEMBL104502,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N=[N+]=[N-])cc2)cc1,1550.0,nM,5.809668301829708
CHEMBL331749,CC(C)(C)c1cc(Nc2ccccc2C(=O)O)cc2c1OCC2(C)C,4000.0,nM,5.3979400086720375
CHEMBL332028,CC(C)(C)c1cc(-c2cn3ccsc3n2)cc2c1OCC2(C)C,15.0,nM,7.823908740944319
CHEMBL298031,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(NS(C)(=O)=O)cc2)cc1,960.0,nM,6.017728766960431
CHEMBL442548,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(F)cc2)cc1,760.0,nM,6.119186407719209
CHEMBL296098,CS(=O)(=O)Nc1ccc(-c2cc(C(F)F)nn2-c2ccc(F)cc2)cc1,8000.0,nM,5.096910013008056
CHEMBL47447,CC(=O)Nc1ccc(-c2cc(C)nn2-c2ccc(Br)cc2)cc1,550.0,nM,6.259637310505756
CHEMBL119170,CC(C)(C)c1cc(C(=O)NC2CC2)cc2c1OCC2(C)C,550.0,nM,6.259637310505756
CHEMBL419947,COCCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,30.0,nM,7.522878745280337
CHEMBL2112567,CC(C)(C)c1cc(/C=C2\CCOC2=O)cc2c1OCC2(C)C,3.5,nM,8.455931955649724
CHEMBL43842,CC(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(Br)cc2)cc1,70.0,nM,7.154901959985743
