molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50,mol,MolWt,LogP,HDonors,HAcceptors,TPSA
CHEMBL4285920,O=c1c2ccccc2nc(SCc2cn(-c3ccc(Cl)cc3)nn2)n1-c1ccccc1,190.0,nM,6.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x000001624A719A80>,445.93500000000006,4.912100000000004,0,5,65.6
CHEMBL4277993,O=c1c2ccccc2nc(SCc2cn(-c3ccc(Br)cc3)nn2)n1-c1ccccc1,540.0,nM,6.267606240177032,<rdkit.Chem.rdchem.Mol object at 0x000001624A719AF0>,490.3860000000001,5.021200000000004,0,5,65.6
CHEMBL4277617,O=C(O)c1ccc(-n2cc(CSc3nc4ccccc4c(=O)n3-c3ccccc3)nn2)cc1,670.0,nM,6.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x000001624A719B60>,455.49900000000014,3.956900000000002,1,6,102.9
CHEMBL4285512,O=c1c2ccccc2nc(SCc2cn(-c3ccccc3)nn2)n1-c1ccc(Cl)cc1,960.0,nM,6.017728766960431,<rdkit.Chem.rdchem.Mol object at 0x000001624A719BD0>,445.93500000000006,4.912100000000003,0,5,65.6
CHEMBL4283242,O=c1c2ccccc2nc(SCc2cn(-c3ccc(Cl)cc3)nn2)n1-c1ccc(Cl)cc1,530.0,nM,6.275724130399211,<rdkit.Chem.rdchem.Mol object at 0x000001624A719C40>,480.3800000000001,5.565500000000004,0,5,65.6
CHEMBL4291092,O=c1c2ccccc2nc(SCc2cn(-c3ccc(Br)cc3)nn2)n1-c1ccc(Cl)cc1,240.0,nM,6.619788758288394,<rdkit.Chem.rdchem.Mol object at 0x000001624A719CB0>,524.8310000000001,5.674600000000003,0,5,65.6
CHEMBL4279764,O=C(O)c1ccc(-n2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(Cl)cc3)nn2)cc1,110.0,nM,6.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x000001624A719D20>,489.9440000000002,4.610300000000003,1,6,102.9
CHEMBL4287667,O=c1c2ccccc2nc(SCc2cn(-c3ccccc3)nn2)n1-c1ccc(Br)cc1,250.0,nM,6.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000001624A719D90>,490.3860000000001,5.021200000000003,0,5,65.6
CHEMBL4290032,O=c1c2ccccc2nc(SCc2cn(-c3ccc(Cl)cc3)nn2)n1-c1ccc(Br)cc1,160.0,nM,6.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x000001624A719E00>,524.8310000000001,5.674600000000003,0,5,65.6
CHEMBL4279346,O=c1c2ccccc2nc(SCc2cn(-c3ccc(Br)cc3)nn2)n1-c1ccc(Br)cc1,170.0,nM,6.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x000001624A719E70>,569.2820000000002,5.783700000000003,0,5,65.6
CHEMBL4286599,O=C(O)c1ccc(-n2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(Br)cc3)nn2)cc1,890.0,nM,6.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x000001624A719EE0>,534.3950000000002,4.719400000000003,1,6,102.9
CHEMBL4294497,COc1ccc(-n2c(SCc3cn(-c4ccccc4)nn3)nc3ccccc3c2=O)cc1,1040.0,nM,5.982966660701219,<rdkit.Chem.rdchem.Mol object at 0x000001624A719F50>,441.51600000000013,4.267300000000002,0,6,74.83000000000001
CHEMBL4288111,COc1ccc(-n2c(SCc3cn(-c4ccc(Cl)cc4)nn3)nc3ccccc3c2=O)cc1,520.0,nM,6.2839966563652006,<rdkit.Chem.rdchem.Mol object at 0x000001624A719FC0>,475.9610000000001,4.9207000000000045,0,6,74.83000000000001
CHEMBL4277468,COc1ccc(-n2c(SCc3cn(-c4ccc(Br)cc4)nn3)nc3ccccc3c2=O)cc1,670.0,nM,6.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A030>,520.4120000000001,5.029800000000004,0,6,74.83000000000001
CHEMBL4286390,COc1ccc(-n2c(SCc3cn(-c4ccc(C(=O)O)cc4)nn3)nc3ccccc3c2=O)cc1,1340.0,nM,5.872895201635193,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A0A0>,485.52500000000015,3.9655000000000014,1,7,112.13
CHEMBL4278472,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccccc3)on2)cc1,370.0,nM,6.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A110>,441.51200000000017,5.341600000000005,0,6,70.15
CHEMBL4289814,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccccc3)on2)cc1OC,1020.0,nM,5.991399828238082,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A180>,471.53800000000024,5.350200000000005,0,7,79.38000000000001
CHEMBL4281944,O=c1c2ccccc2nc(SCc2cc(-c3ccc(Cl)cc3)no2)n1-c1ccccc1,560.0,nM,6.251811972993799,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A1F0>,445.9310000000001,5.986400000000004,0,5,60.92
CHEMBL4293190,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(Cl)cc3)on2)cc1,1340.0,nM,5.872895201635193,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A260>,475.95700000000016,5.9950000000000045,0,6,70.15
CHEMBL4285368,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(Cl)cc3)on2)cc1OC,1330.0,nM,5.876148359032914,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A2D0>,505.98300000000023,6.003600000000005,0,7,79.38000000000001
CHEMBL4278057,O=c1c2ccccc2nc(SCc2cc(-c3ccc(Cl)cc3)no2)n1-c1ccc(Cl)cc1,840.0,nM,6.075720713938118,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A340>,480.3760000000001,6.639800000000004,0,5,60.92
CHEMBL4288714,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(Br)cc3)on2)cc1,560.0,nM,6.251811972993799,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A3B0>,520.4080000000002,6.104100000000004,0,6,70.15
CHEMBL4291293,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(Br)cc3)on2)cc1OC,340.0,nM,6.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A420>,550.4340000000002,6.112700000000005,0,7,79.38000000000001
CHEMBL4283447,O=c1c2ccccc2nc(SCc2cc(-c3ccc(Cl)cc3)no2)n1-c1ccc(Br)cc1,560.0,nM,6.251811972993799,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A490>,524.8270000000001,6.7489000000000035,0,5,60.92
CHEMBL4288146,COc1ccc(-c2cc(CSc3nc4ccccc4c(=O)n3-c3ccc(OC)cc3)on2)cc1,650.0,nM,6.187086643357144,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A500>,471.53800000000024,5.3502000000000045,0,7,79.38
CHEMBL4277505,COc1ccc(-n2c(SCc3cc(-c4ccc(OC)c(OC)c4)no3)nc3ccccc3c2=O)cc1,770.0,nM,6.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A570>,501.56400000000025,5.358800000000005,0,8,88.61000000000001
CHEMBL4291556,COc1ccc(-n2c(SCc3cc(-c4ccc(Cl)cc4)no3)nc3ccccc3c2=O)cc1,630.0,nM,6.200659450546418,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A5E0>,475.95700000000016,5.9950000000000045,0,6,70.15
CHEMBL4290080,C[Si](C)(C)c1c(-c2ccccc2)noc1-c1ccc(S(C)(=O)=O)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A650>,371.5340000000001,3.9573000000000027,0,4,60.17
CHEMBL4287121,C[Si](C)(C)c1c(-c2ccccc2)noc1-c1ccc(S(N)(=O)=O)cc1,11050.0,nM,4.95663772197887,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A6C0>,372.5220000000001,3.201200000000001,1,4,86.19
CHEMBL4279197,C[Si](C)(C)c1c(-c2ccc(F)cc2)noc1-c1ccc(S(C)(=O)=O)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A730>,389.52400000000006,4.096400000000003,0,4,60.17
CHEMBL4276876,C[Si](C)(C)c1c(-c2ccc(F)cc2)noc1-c1ccc(S(N)(=O)=O)cc1,38160.0,nM,4.418391633967943,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A7A0>,390.51200000000006,3.340300000000001,1,4,86.19
CHEMBL4287517,CS(=O)(=O)c1ccc(-c2cc(-c3ccccc3)no2)cc1,13550.0,nM,4.868060704789576,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A810>,299.35100000000006,3.4121000000000015,0,4,60.17
CHEMBL4279921,CS(=O)(=O)c1ccc(-c2cc(-c3ccc(F)cc3)no2)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A880>,317.341,3.5512000000000024,0,4,60.17
CHEMBL4290946,NS(=O)(=O)c1ccc(-c2cc(-c3ccccc3)no2)cc1,10790.0,nM,4.966978555317089,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A8F0>,300.339,2.6560000000000015,1,4,86.19000000000001
CHEMBL4281362,NS(=O)(=O)c1ccc(-c2cc(-c3ccc(F)cc3)no2)cc1,81200.0,nM,4.090443970758825,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A960>,318.329,2.7951000000000015,1,4,86.19000000000001
